,codmpio,ano,H_coca,coca,year,pct.chg
348,18094,1993,0,0,1993,0
349,18150,1993,0,0,1993,0
350,18205,1993,0,0,1993,0
351,18247,1993,0,0,1993,0
352,18256,1993,0,0,1993,0
353,18410,1993,0,0,1993,0
354,18460,1993,0,0,1993,0
355,18479,1993,0,0,1993,0
356,18592,1993,0,0,1993,0
357,18610,1993,0,0,1993,0
358,18753,1993,0,0,1993,0
359,18756,1993,0,0,1993,0
360,18785,1993,0,0,1993,0
361,18860,1993,0,0,1993,0
362,19001,1993,0,0,1993,0
363,19022,1993,0,0,1993,0
364,19050,1993,0,0,1993,0
365,19075,1993,0,0,1993,0
366,19100,1993,0,0,1993,0
367,19110,1993,0,0,1993,0
368,19130,1993,0,0,1993,0
369,19137,1993,0,0,1993,0
370,19142,1993,0,0,1993,0
371,19212,1993,0,0,1993,0
372,19256,1993,0,0,1993,0
373,19290,1993,0,0,1993,0
374,19300,1993,0,0,1993,0
375,19318,1993,0,0,1993,0
376,19355,1993,0,0,1993,0
377,19364,1993,0,0,1993,0
378,19392,1993,0,0,1993,0
379,19397,1993,0,0,1993,0
380,19418,1993,0,0,1993,0
381,19450,1993,0,0,1993,0
382,19455,1993,0,0,1993,0
383,19473,1993,0,0,1993,0
384,19513,1993,0,0,1993,0
385,19517,1993,0,0,1993,0
386,19532,1993,0,0,1993,0
387,19533,1993,0,0,1993,0
388,19548,1993,0,0,1993,0
389,19573,1993,0,0,1993,0
390,19585,1993,0,0,1993,0
391,19622,1993,0,0,1993,0
392,19693,1993,0,0,1993,0
393,19698,1993,0,0,1993,0
394,19701,1993,0,0,1993,0
395,19743,1993,0,0,1993,0
396,19760,1993,0,0,1993,0
397,19780,1993,0,0,1993,0
398,19785,1993,0,0,1993,0
399,19807,1993,0,0,1993,0
400,19809,1993,0,0,1993,0
401,19821,1993,0,0,1993,0
402,19824,1993,0,0,1993,0
403,19845,1993,0,0,1993,0
404,20001,1993,0,0,1993,0
405,20011,1993,0,0,1993,0
406,20013,1993,0,0,1993,0
407,20032,1993,0,0,1993,0
408,20045,1993,0,0,1993,0
409,20060,1993,0,0,1993,0
410,20175,1993,0,0,1993,0
411,20178,1993,0,0,1993,0
412,20228,1993,0,0,1993,0
413,20238,1993,0,0,1993,0
414,20250,1993,0,0,1993,0
415,20295,1993,0,0,1993,0
416,20310,1993,0,0,1993,0
417,20383,1993,0,0,1993,0
418,20400,1993,0,0,1993,0
419,20443,1993,0,0,1993,0
420,20517,1993,0,0,1993,0
421,20550,1993,0,0,1993,0
422,20570,1993,0,0,1993,0
423,20614,1993,0,0,1993,0
424,20621,1993,0,0,1993,0
425,20710,1993,0,0,1993,0
426,20750,1993,0,0,1993,0
427,20770,1993,0,0,1993,0
428,20787,1993,0,0,1993,0
429,23001,1993,0,0,1993,0
430,23068,1993,0,0,1993,0
431,23079,1993,0,0,1993,0
432,23090,1993,0,0,1993,0
433,23162,1993,0,0,1993,0
434,23168,1993,0,0,1993,0
435,23182,1993,0,0,1993,0
436,23189,1993,0,0,1993,0
437,23300,1993,0,0,1993,0
438,23350,1993,0,0,1993,0
439,23417,1993,0,0,1993,0
440,23419,1993,0,0,1993,0
441,23464,1993,0,0,1993,0
442,23466,1993,0,0,1993,0
443,23500,1993,0,0,1993,0
